415	2909	5382	8086	10384	12730	2938	1853	2918	2157	2456	3614	4144	3605	3570	4341	7635	7534	6605	7012	7045	9084	9353	8738	8953	8138	11954	11231	11733	11431	12363	
11864	9370	6897	4630	2054	450	12817	12548	13163	12589	12974	10325	10607	10737	11048	10546	7711	8255	8149	8025	8301	5341	6426	5361	6426	5761	4287	4331	3560	2531	4130	
2586	4860	7210	10104	12402	14202	1102	1371	756	1330	945	5632	6162	5623	5588	6359	6208	5664	5770	5894	5618	11102	11371	10756	10971	10156	9632	9588	10359	11388	9789	
10777	8283	5810	3543	3113	4913	8254	9339	8532	9035	8736	9238	9520	9650	9961	9459	3557	3658	4587	4180	4147	4254	5339	4274	5339	4674	761	299	1070	2099	1170	
11642	9148	6675	4408	3046	4846	9119	10204	9139	9900	9601	10103	10385	10515	10826	10324	4422	4523	5452	5045	5012	5119	6204	5139	6204	5539	276	826	1003	2032	433	
516	2464	4814	7708	10006	11806	2006	1024	1986	1225	1524	3236	3766	3227	3192	3963	6703	6602	5673	6080	6113	8706	8975	8360	8575	7760	11022	10299	10801	10499	11431	
7383	4888	2416	4467	6765	8565	4860	5945	4880	5641	5342	5844	6126	6256	6567	6065	571	264	1193	786	753	5465	5734	5119	5334	4519	4155	3951	4722	5751	4564	
12570	10076	7603	5336	2760	255	13147	12878	13493	12919	13304	11031	11313	11443	11754	11252	8041	8585	8479	8355	8631	6047	7132	6067	7132	6467	4617	4661	3890	2861	4460	
9410	6761	4411	1719	4295	6800	10519	10250	10865	10291	10676	5989	5459	5998	6033	5262	5413	5957	5851	5727	6003	1008	250	988	650	1465	6024	5301	5803	5501	6433	
3233	3999	6349	9243	11541	13341	710	1795	730	1491	1192	4771	5301	4762	4727	5498	5347	4803	4909	5033	4757	10241	10510	9895	10110	9295	8771	8727	9498	10527	8928	
7318	4824	2351	4762	7060	8860	4795	5880	4815	5576	5277	5779	6061	6191	6502	6000	866	322	1128	721	688	5760	6029	5414	5629	4814	4290	4246	5017	6046	4629	
4029	1380	3825	6092	8668	11173	5138	4869	5484	4910	5295	608	115	617	652	176	6078	5977	5048	5455	5488	5381	5130	5361	4730	4961	10397	9674	10176	9874	10806	
10251	7602	5252	2358	254	2759	11360	11091	11706	11132	11517	8016	8298	8428	8739	8237	6254	6798	6692	6568	6844	3032	4117	3052	4117	3452	2830	2874	2103	1460	2673	
10229	7735	5262	2995	2403	4203	8896	8791	9242	8668	9053	8690	8972	9102	9413	8911	3790	4334	4228	4104	4380	3706	4791	3726	4791	4126	1309	586	1088	1389	1718	
2288	625	3098	5604	7941	10446	3397	3128	3743	3169	3554	1132	1662	1123	1088	1859	5351	5250	4321	4728	4761	6602	6871	6256	6471	5656	9670	8947	9449	9147	10079	
8149	5500	3150	970	3546	6051	9258	8989	9604	9030	9415	4728	5006	5136	5447	4945	4152	4696	4590	4466	4742	741	1010	395	825	204	5275	4552	5054	4752	5684	
1853	4502	6852	9746	12044	13844	952	1013	932	972	587	5274	5804	5265	5230	6001	5850	5548	5412	5536	5260	10744	11013	10398	10613	9798	9968	9245	10001	11030	10377	
7677	5115	2678	375	2513	4705	8786	8517	9132	8558	8943	6070	6352	6482	6793	6291	3680	4224	4118	3994	4270	1213	2171	1106	2171	1506	3929	3206	3708	3406	4338	
10274	7780	5307	3040	3116	4916	8183	8836	8529	8532	8340	8735	9017	9147	9458	8956	3077	3621	4084	3677	3667	3751	4836	3771	4836	4171	1264	541	1073	2102	1673	
5961	3467	1755	4649	6947	8747	4352	4523	4698	4219	4509	4422	4704	4834	5145	4643	1258	1157	315	635	668	5647	5916	5301	5516	4701	5577	4854	5356	5933	5986	
3660	1011	3318	5585	8161	10666	4769	4500	5115	4541	4926	239	391	521	832	487	5571	5470	4541	4948	4981	5230	5499	4884	5099	4454	9890	9167	9669	9367	10299	
4312	1663	3730	5997	8573	11078	5421	5152	5767	5193	5578	891	361	900	935	164	5983	5882	4953	5360	5393	5286	4847	5266	4447	4866	10302	9579	10081	9779	10711	
8366	5717	3367	473	2307	4812	9475	9206	9821	9247	9632	5963	6245	6375	6686	6184	4369	4913	4807	4683	4959	979	2064	999	2064	1399	4036	3313	3815	3513	4445	
6499	4005	1532	4207	6505	8305	4794	5061	5140	4757	4951	4960	5242	5372	5683	5181	720	619	309	97	278	5205	5474	4859	5074	4259	5039	4316	4818	5491	5448	
508	2365	4838	7384	9682	12186	2394	1348	2374	1613	1912	2912	3442	2903	2868	3639	7091	6990	6061	6468	6501	8382	8651	8036	8251	7436	11410	10687	11189	10887	11819	
9843	7194	4844	2119	456	2961	10952	10683	11298	10724	11109	7814	8096	8226	8537	8035	5846	6390	6284	6160	6436	2830	3915	2850	3915	3250	2422	2466	1964	1662	2594	
6742	4248	1775	3814	6112	7912	5187	5304	5533	5000	5344	5203	5485	5615	5926	5424	477	625	552	395	671	4812	5081	4466	4681	3866	4796	4073	4575	5098	5205	
5273	2624	274	2619	4917	7421	6382	6113	6728	6154	6539	3354	3636	3766	4077	3575	2326	2225	1714	1703	1866	3617	3886	3271	3486	2671	6645	5922	6424	6122	7054	
2700	212	2562	5456	7754	9614	3545	3276	3891	3317	3702	1161	1514	1573	1884	1711	4519	4418	3489	3896	3929	6454	6723	6108	6323	5508	8838	8115	8617	8315	9247	
9296	6647	4297	1955	4531	7036	10405	10136	10751	10177	10562	5875	5345	5884	5919	5148	5299	5843	5737	5613	5889	1244	159	1224	536	1351	6260	5537	6039	5737	6669	
2950	301	2346	4942	7240	9694	4059	3790	4405	3831	4216	1081	1363	1493	1804	1302	4599	4498	3569	3976	4009	5940	6209	5594	5809	4994	8918	8195	8697	8395	9327	
7561	4973	2562	331	2629	4847	8670	8401	9016	8442	8827	5928	6210	6340	6651	6149	3564	4108	4002	3878	4154	1329	2029	983	2029	1364	4071	3348	3850	3548	4480	
11931	9437	6964	4697	2449	4249	9408	10493	9428	10189	9890	10392	10674	10804	11115	10613	4711	4812	5741	5334	5301	5408	6493	5428	6493	5828	392	1115	613	1435	163	
9108	6459	4109	1215	3565	6070	10217	9948	10563	9989	10374	5687	5157	5696	5731	4960	5111	5655	5549	5425	5701	278	806	563	806	1163	5294	4571	5073	4771	5703	
5499	2850	500	2393	4822	7327	6608	6339	6954	6380	6765	3448	3730	3860	4171	3669	2232	2131	1940	1816	2092	3391	3660	3045	3260	2445	6551	5828	6330	6028	6960	
2511	4593	6943	9837	12135	13935	835	1104	489	1063	678	5365	5895	5356	5321	6092	5941	5397	5503	5627	5351	10835	11104	10489	10704	9889	9365	9321	10092	11121	9522	
11219	8725	6252	3985	2477	4277	8822	9781	9168	9477	9178	9680	9962	10092	10403	9901	3999	4260	5029	4622	4589	4696	5781	4716	5781	5116	319	403	434	1463	728	
1796	2856	5206	8100	10398	12198	901	632	1247	673	1058	3628	4158	3619	3584	4355	5423	5322	4393	4800	4833	9098	9367	8752	8967	8152	9742	9019	9521	9384	10151	

Travel time between bus stops in seconds: 
0	238	449	710	917	1108	227	129	225	156	183	307	355	307	303	373	649	640	557	593	596	800	824	769	788	715	1038	973	1018	991	1075	
238	0	222	471	678	883	338	314	369	317	352	85	117	123	151	134	425	416	332	369	372	561	585	530	549	476	814	748	794	766	850	
449	222	0	260	467	661	549	525	580	529	563	308	333	345	373	328	202	193	129	146	149	350	374	319	338	265	591	526	571	544	628	
710	471	260	0	231	457	810	786	841	789	824	512	537	549	577	532	350	399	390	378	403	89	161	65	161	101	387	322	367	340	424	
917	678	467	231	0	225	1017	992	1048	996	1031	744	769	781	809	764	557	606	596	585	610	295	393	297	393	333	249	253	183	108	235	
1108	883	661	457	225	0	1179	1154	1210	1158	1193	969	995	1006	1034	989	719	768	758	747	772	521	618	523	618	559	411	415	345	253	397	
227	338	549	810	1017	1179	0	97	31	70	43	407	455	406	403	473	459	413	420	431	406	899	924	868	888	814	811	763	833	925	848	
129	314	525	786	992	1154	97	0	95	27	54	383	431	382	379	448	520	511	427	464	467	875	899	844	863	790	909	843	889	901	945	
225	369	580	841	1048	1210	31	95	0	68	41	438	486	438	434	504	490	441	451	462	437	931	955	899	919	845	813	794	864	956	850	
156	317	529	789	996	1158	70	27	68	0	34	387	434	386	383	452	493	484	400	437	439	879	903	848	867	794	881	816	861	905	918	
183	352	563	824	1031	1193	43	54	41	34	0	421	469	421	417	487	473	457	434	445	420	914	938	882	902	828	854	789	847	939	891	
307	85	308	512	744	969	407	383	438	387	421	0	47	37	65	65	511	502	418	455	458	492	516	461	480	410	899	834	880	852	936	
355	117	333	537	769	995	455	431	486	434	469	47	0	48	51	17	536	527	443	480	483	473	468	472	432	436	925	860	905	878	962	
307	123	345	549	781	1006	406	382	438	386	421	37	48	0	27	66	548	539	455	492	495	493	517	483	481	447	937	872	917	890	973	
303	151	373	577	809	1034	403	379	434	383	417	65	51	27	0	69	576	567	483	520	523	513	520	511	484	475	965	899	945	917	1001	
373	134	328	532	764	989	473	448	504	452	487	65	17	66	69	0	531	522	438	475	478	468	451	466	415	430	919	854	899	872	956	
649	425	202	350	557	719	459	520	490	493	473	511	536	548	576	531	0	49	92	56	53	440	464	409	428	355	388	323	373	466	425	
640	416	193	399	606	768	413	511	441	484	457	502	527	539	567	522	49	0	83	46	44	489	513	458	477	404	397	353	422	515	434	
557	332	129	390	596	758	420	427	451	400	434	418	443	455	483	438	92	83	0	36	39	479	504	448	468	394	481	416	461	505	518	
593	369	146	378	585	747	431	464	462	437	445	455	480	492	520	475	56	46	36	0	24	468	492	437	456	383	444	379	424	494	481	
596	372	149	403	610	772	406	467	437	439	420	458	483	495	523	478	53	44	39	24	0	493	517	462	481	408	441	376	426	519	478	
800	561	350	89	295	521	899	875	931	879	914	492	473	493	513	468	440	489	479	468	493	0	97	31	97	85	451	386	431	404	488	
824	585	374	161	393	618	924	899	955	903	938	516	468	517	520	451	464	513	504	492	517	97	0	95	35	109	549	483	529	501	585	
769	530	319	65	297	523	868	844	899	848	882	461	472	483	511	466	409	458	448	437	462	31	95	0	95	53	453	388	433	406	490	
788	549	338	161	393	618	888	863	919	867	902	480	432	481	484	415	428	477	468	456	481	97	35	95	0	73	549	483	529	501	585	
715	476	265	101	333	559	814	790	845	794	828	410	436	447	475	430	355	404	394	383	408	85	109	53	73	0	489	424	469	442	526	
1038	814	591	387	249	411	811	909	813	881	854	899	925	937	965	919	388	397	481	444	441	451	549	453	549	489	0	65	65	157	36	
973	748	526	322	253	415	763	843	794	816	789	834	860	872	899	854	323	353	416	379	376	386	483	388	483	424	65	0	69	161	101	
1018	794	571	367	183	345	833	889	864	861	847	880	905	917	945	899	373	422	461	424	426	431	529	433	529	469	65	69	0	92	56	
991	766	544	340	108	253	925	901	956	905	939	852	878	890	917	872	466	515	505	494	519	404	501	406	501	442	157	161	92	0	143	
1075	850	628	424	235	397	848	945	850	918	891	936	962	973	1001	956	425	434	518	481	478	488	585	490	585	526	36	101	56	143	0	
